,Type,Price,Location,Area,Creation date,Amenities,Installment value
204,Plot File,285000,Al Rehman Garden,3.5,2 weeks ago,1,
205,Plot File,340000,Al Rehman Garden,5.0,2 weeks ago,1,
206,Residential Plot,4000000,Al Rehman Garden,5.0,3 weeks ago,1,
207,Plot File,1964999,Al Rehman Garden,5.0,3 weeks ago,1,800000.0
208,Residential Plot,1785000,Al Rehman Garden,3.6,3 weeks ago,1,
209,Residential Plot,5900000,Al Rehman Garden,10.0,3 weeks ago,12,
210,Residential Plot,3350000,Al Rehman Garden,3.5,3 weeks ago,12,
211,Residential Plot,7100000,Al Rehman Garden,7.0,4 weeks ago,1,
212,Residential Plot,4500000,Al Rehman Garden,6.0,4 weeks ago,1,
213,Residential Plot,3950000,Al Rehman Garden,5.0,4 weeks ago,1,
214,Plot File,1964999,Al Rehman Garden,5.0,4 weeks ago,1,
215,Residential Plot,5000000,Al Rehman Garden,5.0,4 days ago,1,
216,Residential Plot,3300000,Al Rehman Garden,3.0,4 days ago,1,
217,Residential Plot,3600000,Al Rehman Garden,3.0,4 days ago,1,
218,Residential Plot,6700000,Al Rehman Garden,5.0,4 days ago,1,
219,Plot File,275000,Al Rehman Garden,3.5,4 days ago,1,
220,Residential Plot,1785000,Al Rehman Garden,3.5,3 days ago,1,
221,Plot File,285000,Al Rehman Garden,3.5,3 days ago,1,
222,Commercial Plot,7070000,Al Rehman Garden,4.0,3 days ago,1,
223,Residential Plot,2500000,Al Rehman Garden,5.0,3 days ago,1,
224,Residential Plot,2500000,Al Rehman Garden,5.0,3 days ago,1,
225,Plot File,285000,Al Rehman Garden,3.5,3 days ago,1,
226,Residential Plot,1785000,Al Rehman Garden,3.5,3 days ago,1,
227,Plot File,340000,Al Rehman Garden,5.0,3 days ago,1,
228,Residential Plot,9400000,Al Rehman Garden,8.0,4 days ago,1,
229,Residential Plot,6500000,Al Rehman Garden,5.0,4 days ago,1,
230,Residential Plot,3225000,Al Rehman Garden,3.0,4 days ago,1,2426000.0
231,Residential Plot,4800000,Al Rehman Garden,4.0,4 days ago,1,
232,Residential Plot,7200000,Al Rehman Garden,6.0,4 days ago,1,
233,Residential Plot,7650000,Al Rehman Garden,6.0,4 days ago,1,6413000.0
234,Residential Plot,2400000,Al Rehman Garden,3.0,4 days ago,1,
235,Residential Plot,6750000,Al Rehman Garden,6.0,5 days ago,1,
236,Residential Plot,3750000,Al Rehman Garden,5.0,5 days ago,22,
237,Commercial Plot,9000000,Al Rehman Garden,2.0,5 days ago,1,
238,Residential Plot,3450000,Al Rehman Garden,3.0,5 days ago,1,
239,Commercial Plot,3600000,Al Rehman Garden,2.0,5 days ago,1,
240,Residential Plot,2500000,Al Rehman Garden,5.0,1 day ago,1,1660000.0
241,Plot File,1785000,Al Rehman Garden,3.5,1 day ago,1,1305000.0
243,Residential Plot,4000000,Al Rehman Garden,5.0,5 days ago,1,
244,Residential Plot,7800000,Al Rehman Garden,7.0,5 days ago,1,
245,Plot File,350000,Al Rehman Garden,5.0,3 days ago,1,
246,Commercial Plot,6800000,Al Rehman Garden,4.0,3 days ago,1,4319999.0
247,Residential Plot,3600000,Al Rehman Garden,3.0,3 days ago,1,
248,Residential Plot,14000000,Al Rehman Garden,10.0,3 days ago,1,
249,Residential Plot,18000000,Al Rehman Garden,20.0,3 days ago,1,
250,Residential Plot,4100000,Al Rehman Garden,5.0,3 days ago,1,
251,Residential Plot,5600000,Al Rehman Garden,5.0,3 days ago,1,
252,Residential Plot,4000000,Al Rehman Garden,5.0,3 days ago,1,
253,Residential Plot,3500000,Al Rehman Garden,5.0,6 days ago,1,
254,Residential Plot,3300000,Al Rehman Garden,5.0,6 days ago,1,
255,Residential Plot,2300000,Al Rehman Garden,3.5,6 days ago,1,
256,Residential Plot,9000000,Al Rehman Garden,10.0,6 days ago,1,
257,Residential Plot,3300000,Al Rehman Garden,5.0,6 days ago,1,2110000.0
259,Residential Plot,3550000,Al Rehman Garden,5.0,6 days ago,1,
260,Residential Plot,4300000,Al Rehman Garden,5.0,6 days ago,1,
261,Residential Plot,6500000,Al Rehman Garden,5.0,1 week ago,1,
262,Plot File,285000,Al Rehman Garden,3.5,1 week ago,1,
263,Residential Plot,7350000,Al Rehman Garden,6.0,1 week ago,1,
264,Residential Plot,8500000,Al Rehman Garden,10.0,1 week ago,1,
265,Residential Plot,3300000,Al Rehman Garden,5.0,1 week ago,18,
266,Residential Plot,5750000,Al Rehman Garden,5.0,1 week ago,1,
267,Residential Plot,8000000,Al Rehman Garden,10.0,1 week ago,1,
268,Residential Plot,6250000,Al Rehman Garden,10.0,2 weeks ago,1,
270,Residential Plot,10500000,Al Rehman Garden,10.0,3 days ago,1,
271,Residential Plot,11000000,Al Rehman Garden,10.0,3 days ago,1,
272,Residential Plot,2825000,Al Rehman Garden,3.0,3 days ago,1,
273,Residential Plot,4000000,Al Rehman Garden,5.0,3 days ago,1,
274,Residential Plot,3250000,Al Rehman Garden,3.0,3 days ago,1,
275,Residential Plot,11000000,Al Rehman Garden,10.0,3 days ago,1,
276,Residential Plot,9500000,Al Rehman Garden,10.0,3 days ago,1,
277,Residential Plot,7200000,Al Rehman Garden,8.0,3 days ago,1,
278,Commercial Plot,6000000,Al Rehman Garden,4.0,2 weeks ago,23,4560000.0
280,Plot File,620000,Al Rehman Garden,3.5,2 weeks ago,1,
281,Plot File,425000,Al Rehman Garden,7.0,2 weeks ago,1,
282,Residential Plot,6750000,Al Rehman Garden,5.0,2 weeks ago,1,
283,Residential Plot,1785000,Al Rehman Garden,3.5,2 weeks ago,1,
284,Residential Plot,4800000,Al Rehman Garden,6.0,2 weeks ago,1,
285,Residential Plot,3750000,Al Rehman Garden,5.0,2 weeks ago,1,
286,Residential Plot,7500000,Al Rehman Garden,10.0,2 weeks ago,1,
287,Commercial Plot,9000000,Al Rehman Garden,2.0,3 weeks ago,1,
288,Commercial Plot,17200000,Al Rehman Garden,4.0,3 weeks ago,1,
289,Commercial Plot,21000000,Al Rehman Garden,5.0,3 weeks ago,1,
290,Residential Plot,5750000,Al Rehman Garden,5.0,3 weeks ago,1,
291,Residential Plot,3750000,Al Rehman Garden,5.0,3 weeks ago,1,
292,Residential Plot,2375000,Al Rehman Garden,5.0,3 weeks ago,1,1550000.0
293,Residential Plot,11299999,Al Rehman Garden,10.0,4 weeks ago,1,
294,Residential Plot,8500000,Al Rehman Garden,8.0,3 days ago,1,
295,Residential Plot,10500000,Al Rehman Garden,10.0,3 days ago,1,
296,Residential Plot,2250000,Al Rehman Garden,3.0,3 days ago,1,
297,Residential Plot,11000000,Al Rehman Garden,8.0,3 days ago,1,
298,Residential Plot,7200000,Al Rehman Garden,6.0,3 days ago,1,
299,Residential Plot,9000000,Al Rehman Garden,11.0,3 days ago,1,
300,Residential Plot,2450000,Al Rehman Garden,3.0,1 day ago,24,
301,Residential Plot,2200000,Al Rehman Garden,3.0,6 hours ago,25,
302,Commercial Plot,8000000,Al Rehman Garden,2.0,4 days ago,26,
303,Plot File,2500000,Al Rehman Garden,5.0,4 days ago,1,1660000.0
304,Residential Plot,6300000,Al Rehman Garden,6.0,4 days ago,1,
305,Plot File,150000,Al Rehman Garden,3.0,4 days ago,1,
306,Plot File,250000,Al Rehman Garden,5.0,4 days ago,1,
307,Plot File,300000,Al Rehman Garden,5.0,4 days ago,1,
308,Residential Plot,5200000,Al Rehman Garden,8.0,4 days ago,1,
309,Residential Plot,3150000,Al Rehman Garden,6.0,4 days ago,1,
310,Residential Plot,42000000,Al Rehman Garden,13.5,4 days ago,1,
311,Residential Plot,3450000,Al Rehman Garden,3.0,4 days ago,1,
312,Residential Plot,5250000,Al Rehman Garden,5.0,4 days ago,1,
313,Commercial Plot,9500000,Al Rehman Garden,1.0,4 days ago,1,
314,Commercial Plot,17000000,Al Rehman Garden,2.0,4 days ago,1,
315,Residential Plot,9800000,Al Rehman Garden,7.0,4 days ago,1,
316,Residential Plot,4500000,Al Rehman Garden,5.0,4 days ago,1,
317,Residential Plot,3000000,Al Rehman Garden,3.0,4 days ago,1,
318,Residential Plot,2775000,Al Rehman Garden,3.0,4 days ago,1,
319,Residential Plot,5000000,Al Rehman Garden,5.0,4 days ago,1,
320,Residential Plot,4750000,Al Rehman Garden,5.0,4 days ago,1,
321,Residential Plot,8000000,Al Rehman Garden,10.0,4 days ago,1,
322,Residential Plot,14400000,Al Rehman Garden,16.0,4 days ago,1,
323,Residential Plot,9500000,Al Rehman Garden,8.0,5 days ago,1,
324,Residential Plot,5250000,Al Rehman Garden,5.0,5 days ago,27,
325,Residential Plot,4750000,Al Rehman Garden,5.0,5 days ago,27,
326,Residential Plot,5250000,Al Rehman Garden,5.0,5 days ago,27,
327,Residential Plot,6050000,Al Rehman Garden,5.0,5 days ago,27,
328,Residential Plot,5250000,Al Rehman Garden,5.0,5 days ago,27,
329,Residential Plot,6600000,Al Rehman Garden,6.0,5 days ago,27,
330,Residential Plot,6900000,Al Rehman Garden,6.0,5 days ago,27,
331,Residential Plot,7350000,Al Rehman Garden,7.0,5 days ago,27,
332,Residential Plot,9400000,Al Rehman Garden,8.0,5 days ago,27,
333,Residential Plot,11000000,Al Rehman Garden,10.0,5 days ago,28,
334,Residential Plot,2475000,Al Rehman Garden,3.0,5 days ago,27,
335,Residential Plot,3750000,Al Rehman Garden,3.0,5 days ago,27,
336,Residential Plot,2325000,Al Rehman Garden,3.0,5 days ago,1,
337,Residential Plot,6750000,Al Rehman Garden,6.0,5 days ago,1,
338,Residential Plot,4550000,Al Rehman Garden,4.3,5 days ago,1,
339,Residential Plot,4600000,Al Rehman Garden,4.0,5 days ago,1,
340,Residential Plot,4500000,Al Rehman Garden,4.0,5 days ago,1,
341,Residential Plot,5250000,Al Rehman Garden,5.0,5 days ago,29,
342,Residential Plot,5125000,Al Rehman Garden,5.0,5 days ago,27,
343,Residential Plot,5750000,Al Rehman Garden,5.0,5 days ago,29,
344,Residential Plot,11500000,Al Rehman Garden,10.0,5 days ago,1,
345,Residential Plot,9000000,Al Rehman Garden,8.0,5 days ago,1,
346,Residential Plot,3550000,Al Rehman Garden,5.0,5 days ago,30,
347,Residential Plot,3650000,Al Rehman Garden,5.0,5 days ago,31,
348,Residential Plot,3250000,Al Rehman Garden,5.0,5 days ago,1,
349,Residential Plot,4000000,Al Rehman Garden,5.0,5 days ago,1,
350,Residential Plot,4000000,Al Rehman Garden,5.0,5 days ago,1,
351,Residential Plot,2375000,Al Rehman Garden,5.0,5 days ago,1,
352,Plot File,340000,Al Rehman Garden,5.0,5 days ago,1,
353,Plot File,850000,Al Rehman Garden,5.0,5 days ago,1,
354,Plot File,275000,Al Rehman Garden,3.5,5 days ago,1,
355,Residential Plot,1695000,Al Rehman Garden,3.5,5 days ago,1,
356,Plot File,350000,Al Rehman Garden,5.0,5 days ago,1,
357,Residential Plot,2375000,Al Rehman Garden,5.0,5 days ago,1,
358,Plot File,350000,Al Rehman Garden,5.0,5 days ago,1,
359,Residential Plot,2375000,Al Rehman Garden,5.0,5 days ago,1,
360,Plot File,275000,Al Rehman Garden,3.5,5 days ago,1,
361,Residential Plot,1695000,Al Rehman Garden,3.5,5 days ago,1,
362,Residential Plot,2375000,Al Rehman Garden,5.0,5 days ago,1,
363,Residential Plot,3300000,Al Rehman Garden,5.0,5 days ago,32,2110000.0
364,Residential Plot,850000,Al Rehman Garden,5.0,5 days ago,33,
365,Residential Plot,4960000,Al Rehman Garden,8.0,5 days ago,34,2800000.0
366,Plot File,285000,Al Rehman Garden,3.5,5 days ago,1,
367,Residential Plot,1785000,Al Rehman Garden,3.5,5 days ago,1,
368,Residential Plot,2500000,Al Rehman Garden,5.0,5 days ago,1,
369,Commercial Plot,7070000,Al Rehman Garden,4.0,5 days ago,1,
370,Plot File,285000,Al Rehman Garden,3.5,5 days ago,1,
371,Residential Plot,1785000,Al Rehman Garden,3.5,5 days ago,1,
372,Commercial Plot,7070000,Al Rehman Garden,4.0,5 days ago,1,
373,Plot File,285000,Al Rehman Garden,3.5,5 days ago,1,
374,Residential Plot,3300000,Al Rehman Garden,5.0,5 days ago,31,2110000.0
375,Residential Plot,3850000,Al Rehman Garden,5.0,6 days ago,12,
376,Residential Plot,4750000,Al Rehman Garden,5.5,6 days ago,1,
377,Residential Plot,4750000,Al Rehman Garden,5.5,6 days ago,1,
378,Plot File,400000,Al Rehman Garden,5.0,6 days ago,1,
379,Plot File,300000,Al Rehman Garden,3.0,6 days ago,1,
380,Residential Plot,3300000,Al Rehman Garden,5.0,1 week ago,1,
381,Residential Plot,4400000,Al Rehman Garden,5.0,6 hours ago,25,
382,Residential Plot,3900000,Al Rehman Garden,5.0,6 hours ago,25,
383,Residential Plot,4100000,Al Rehman Garden,5.0,6 hours ago,25,
385,Residential Plot,2500000,Al Rehman Garden,5.0,1 week ago,1,
386,Residential Plot,1785000,Al Rehman Garden,3.5,1 week ago,1,
387,Residential Plot,6200000,Al Rehman Garden,10.0,1 week ago,34,
