,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities
47,Residential Plot,PKR2.25 Crore,"Wapda Town, Lahore, Punjab",-,10 Marla,For Sale,-,2 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Security Staff"
48,Residential Plot,PKR3.75 Crore,"Wapda Town, Lahore, Punjab",-,2.1 Kanal,For Sale,-,2 days ago,"Possesion,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff"
49,Residential Plot,PKR1.4 Crore,"Wapda Town, Lahore, Punjab",4,5 Marla,For Sale,4,3 days ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places"
50,Residential Plot,PKR1.9 Crore,"Wapda Town, Lahore, Punjab",-,10 Marla,For Sale,-,2 weeks ago,
51,Commercial Plot,PKR18 Crore,"Wapda Town, Lahore, Punjab",-,2 Kanal,For Sale,-,3 weeks ago,
52,Residential Plot,PKR2.65 Crore,"Wapda Town, Lahore, Punjab",-,1 Kanal,For Sale,-,3 weeks ago,"Possesion,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
53,Residential Plot,PKR2.23 Crore,"Wapda Town, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,
54,Residential Plot,PKR2.24 Crore,"Wapda Town, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,
55,Commercial Plot,PKR9.5 Crore,"Wapda Town, Lahore, Punjab",-,1 Kanal,For Sale,-,4 weeks ago,
56,Residential Plot,PKR3.2 Crore,"Wapda Town, Lahore, Punjab",-,1 Kanal,For Sale,-,4 weeks ago,
57,Residential Plot,PKR4.4 Crore,"Wapda Town, Lahore, Punjab",-,1 Kanal,For Sale,-,3 days ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places"
