,Type,Price,advance,Monthly installment,Remaining installments,Location,Baths,Area,Purpose,Beds,Creation date,Amenities
50,Residential Plot,PKR17.5 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,3 Marla,For Sale,-,3 weeks ago,"Possesion,Corner,Park Facing,File,Balloted,Sewerage,Electricity,Water Supply,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
51,Residential Plot,PKR34.5 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,
52,Plot File,PKR13 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,10 Marla,For Sale,-,4 days ago,
53,Residential Plot,PKR67 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,10 Marla,For Sale,-,4 days ago,
54,Plot File,PKR5 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,3 Marla,For Sale,-,4 days ago,
55,Residential Plot,PKR21.9 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,3 Marla,For Sale,-,4 days ago,
56,Plot File,PKR7.5 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,
57,Residential Plot,PKR17.5 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,3 Marla,For Sale,-,4 days ago,"Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
58,Residential Plot,PKR23.75 Lakh,PKR3.75 Lakh,PKR10 Thousand,60 Months,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Other Facilities"
59,Residential Plot,PKR67 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,10 Marla,For Sale,-,4 days ago,
60,Plot File,PKR13 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,10 Marla,For Sale,-,4 days ago,
61,Residential Plot,PKR34.5 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,
62,Residential Plot,PKR21.9 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,3 Marla,For Sale,-,4 days ago,
