,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities,advance,Monthly installment,Remaining installments
33,Residential Plot,PKR36.95 Lakh,"Jia Baga Road, Lahore, Punjab",-,5 Marla,For Sale,-,5 days ago,"Corner,File,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Security Staff",PKR6.46 Lakh,PKR75 Thousand,30 Months
34,Residential Plot,PKR36.95 Lakh,"Jia Baga Road, Lahore, Punjab",-,5 Marla,For Sale,-,5 days ago,"Corner,Park Facing,File,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Security Staff",PKR6.46 Lakh,PKR75 Thousand,30 Months
35,Residential Plot,PKR3.25 Crore,"Jia Baga Road, Lahore, Punjab",-,2 Kanal,For Sale,-,6 days ago,,,,
36,Residential Plot,PKR36.95 Lakh,"Jia Baga Road, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,,PKR6.47 Lakh,PKR75 Thousand,30 Months
37,Plot File,PKR24 Lakh,"Jia Baga Road, Lahore, Punjab",-,3 Marla,For Sale,-,1 week ago,,PKR2.4 Lakh,PKR12.5 Thousand,36 Months
38,Residential Plot,PKR36.95 Lakh,"Jia Baga Road, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,"Possesion,Corner,Park Facing,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
39,Plot File,PKR36.95 Lakh,"Jia Baga Road, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,,PKR5.95 Lakh,PKR2.31 Lakh,10 Months
40,Plot File,PKR36.95 Lakh,"Jia Baga Road, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,,PKR5.95 Lakh,PKR2.31 Lakh,3 Months
41,Plot File,PKR2.7 Lakh,"Jia Baga Road, Lahore, Punjab",-,3 Marla,For Sale,-,1 week ago,,,,
42,Plot File,PKR4 Lakh,"Jia Baga Road, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,,,,
43,Plot File,PKR22 Lakh,"Jia Baga Road, Lahore, Punjab",-,4 Marla,For Sale,-,2 weeks ago,,,,
