,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities,advance,Monthly installment,Remaining installments
2594,Residential Plot,PKR16.6 Crore,"Bahria Town, Lahore, Punjab",-,4.1 Kanal,For Sale,-,3 weeks ago,"Balloted,Sewerage",,,
2595,Residential Plot,PKR16.6 Crore,"Bahria Town, Lahore, Punjab",-,4.1 Kanal,For Sale,-,3 weeks ago,"Balloted,Sewerage",,,
2596,Residential Plot,PKR16.6 Crore,"Bahria Town, Lahore, Punjab",-,4.1 Kanal,For Sale,-,3 weeks ago,"Balloted,Sewerage",,,
2597,Residential Plot,PKR16.6 Crore,"Bahria Town, Lahore, Punjab",-,4.1 Kanal,For Sale,-,3 weeks ago,"Balloted,Sewerage",,,
2598,Residential Plot,PKR16.6 Crore,"Bahria Town, Lahore, Punjab",-,4.1 Kanal,For Sale,-,3 weeks ago,"Balloted,Sewerage",,,
2599,Residential Plot,PKR16.6 Crore,"Bahria Town, Lahore, Punjab",-,4.1 Kanal,For Sale,-,3 weeks ago,"Balloted,Sewerage",,,
2600,Residential Plot,PKR3.3 Crore,"Bahria Town, Lahore, Punjab",-,1.3 Kanal,For Sale,-,3 weeks ago,Security Staff,,,
2601,Residential Plot,PKR83 Lakh,"Bahria Town, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,Security Staff,,,
2602,Residential Plot,PKR1.91 Crore,"Bahria Town, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,,,,
2603,Residential Plot,PKR2.5 Crore,"Bahria Town, Lahore, Punjab",-,1 Kanal,For Sale,-,3 weeks ago,,,,
2604,Residential Plot,PKR1.2 Crore,"Bahria Town, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,,,,
2605,Residential Plot,PKR2.5 Crore,"Bahria Town, Lahore, Punjab",-,1 Kanal,For Sale,-,3 weeks ago,,,,
2606,Residential Plot,PKR1.4 Crore,"Bahria Town, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,,,,
2607,Residential Plot,PKR1.5 Crore,"Bahria Town, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,,,,
2608,Residential Plot,PKR75 Lakh,"Bahria Town, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,,,,
2609,Residential Plot,PKR1.2 Crore,"Bahria Town, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,"Possesion,Corner,Park Facing,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
2610,Residential Plot,PKR1.3 Crore,"Bahria Town, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply",,,
2611,Residential Plot,PKR85 Lakh,"Bahria Town, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply",,,
2612,Commercial Plot,PKR13.5 Crore,"Bahria Town, Lahore, Punjab",-,8 Marla,For Sale,-,3 weeks ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply",,,
2613,Residential Plot,PKR50 Lakh,"Bahria Town, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,"Balloted,Sewerage,Electricity,Water Supply",,,
2614,Residential Plot,PKR95 Lakh,"Bahria Town, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places",,,
2615,Residential Plot,PKR20.2 Crore,"Bahria Town, Lahore, Punjab",-,4.3 Kanal,For Sale,-,3 weeks ago,"Nearby Schools,Nearby Hospitals",,,
2616,Residential Plot,PKR2.13 Crore,"Bahria Town, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,,,,
2617,Residential Plot,PKR1.76 Crore,"Bahria Town, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,,,,
2618,Residential Plot,PKR1.86 Crore,"Bahria Town, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places",,,
2619,Residential Plot,PKR1.6 Crore,"Bahria Town, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,,,,
2620,Residential Plot,PKR9.5 Crore,"Bahria Town, Lahore, Punjab",-,4 Kanal,For Sale,-,3 weeks ago,,,,
2621,Residential Plot,PKR1.85 Crore,"Bahria Town, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,,,,
2622,Residential Plot,PKR1.8 Crore,"Bahria Town, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,,,,
2623,Residential Plot,PKR7 Crore,"Bahria Town, Lahore, Punjab",-,2 Kanal,For Sale,-,3 weeks ago,,,,
2624,Residential Plot,PKR1.28 Crore,"Bahria Town, Lahore, Punjab",-,11.7 Marla,For Sale,-,3 weeks ago,,,,
2625,Residential Plot,PKR1.28 Crore,"Bahria Town, Lahore, Punjab",-,11.7 Marla,For Sale,-,3 weeks ago,,,,
2626,Residential Plot,PKR3 Crore,"Bahria Town, Lahore, Punjab",-,1 Kanal,For Sale,-,3 weeks ago,,,,
2627,Residential Plot,PKR1.12 Crore,"Bahria Town, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places",,,
2628,Residential Plot,PKR2 Crore,"Bahria Town, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,"Park Facing,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
2629,Residential Plot,PKR85 Lakh,"Bahria Town, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,"Possesion,Corner,Park Facing,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
2630,Residential Plot,PKR2 Crore,"Bahria Town, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,"Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
2631,Residential Plot,PKR2.8 Crore,"Bahria Town, Lahore, Punjab",-,1 Kanal,For Sale,-,2 days ago,,,,
2632,Residential Plot,PKR2.15 Crore,"Bahria Town, Lahore, Punjab",-,10 Marla,For Sale,-,2 days ago,,,,
