,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities,advance,Monthly installment,Remaining installments
73,Residential Plot,PKR32 Lakh,"GT Road, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,"Possesion,Sewerage,Electricity,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
74,Residential Plot,PKR21 Lakh,"GT Road, Lahore, Punjab",-,3 Marla,For Sale,-,2 days ago,"File,Balloted,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Other Facilities",,,
75,Residential Plot,PKR21 Lakh,"GT Road, Lahore, Punjab",-,3 Marla,For Sale,-,2 days ago,"Possesion,Sewerage,Electricity,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Other Facilities",,,
76,Residential Plot,PKR45 Lakh,"GT Road, Lahore, Punjab",-,3 Marla,For Sale,-,2 days ago,,,,
77,Plot File,PKR3.25 Lakh,"GT Road, Lahore, Punjab",-,7 Marla,For Sale,-,3 days ago,,,,
78,Residential Plot,PKR27 Lakh,"GT Road, Lahore, Punjab",-,8 Marla,For Sale,-,3 days ago,,,,
79,Residential Plot,PKR21.6 Lakh,"GT Road, Lahore, Punjab",-,5 Marla,For Sale,-,4 weeks ago,,PKR4.32 Lakh,PKR48 Thousand,12 Months
80,Plot File,PKR2 Lakh,"GT Road, Lahore, Punjab",-,3 Marla,For Sale,-,1 week ago,,,,
81,Plot File,PKR2 Lakh,"GT Road, Lahore, Punjab",-,3 Marla,For Sale,-,1 week ago,,,,
82,Plot File,PKR19 Lakh,"GT Road, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,"Possesion,Park Facing,Sewerage,Electricity,Water Supply,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Security Staff,Other Facilities",,,
83,Commercial Plot,PKR69 Lakh,"GT Road, Lahore, Punjab",-,2.7 Marla,For Sale,-,2 weeks ago,"Possesion,Park Facing,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall",PKR6.9 Lakh,PKR1.53 Lakh,12 Months
84,Residential Plot,PKR21.6 Lakh,"GT Road, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,"Possesion,Park Facing,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall",PKR4.32 Lakh,PKR48 Thousand,12 Months
85,Commercial Plot,PKR90 Lakh,"GT Road, Lahore, Punjab",-,4 Marla,For Sale,-,2 weeks ago,"Possesion,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall",,,
86,Residential Plot,PKR34 Lakh,"GT Road, Lahore, Punjab",-,10 Marla,For Sale,-,5 hours ago,"Possesion,Park Facing,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall",PKR6.8 Lakh,PKR1.13 Lakh,8 Months
87,Commercial Plot,PKR90 Lakh,"GT Road, Lahore, Punjab",-,4 Marla,For Sale,-,2 weeks ago,"Possesion,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall",PKR18 Lakh,PKR2.22 Lakh,12 Months
88,Residential Plot,PKR21.6 Lakh,"GT Road, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,"Possesion,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall",,,
89,Residential Plot,PKR1 Crore,"GT Road, Lahore, Punjab",-,2 Kanal,For Sale,-,3 days ago,"Built in year,Parking Spaces,Flooring,Drawing Room,Dining Room,Steam Room,Lounge or Sitting Room,Laundry Room,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places",,,
90,Plot File,PKR54 Lakh,"GT Road, Lahore, Punjab",-,1 Kanal,For Sale,-,3 days ago,,,,
91,Residential Plot,PKR17.5 Lakh,"GT Road, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,,PKR3 Lakh,PKR15 Thousand,36 Months
92,Residential Plot,PKR53 Lakh,"GT Road, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,,,,
93,Residential Plot,PKR36 Lakh,"GT Road, Lahore, Punjab",-,3 Marla,For Sale,-,3 days ago,,,,
94,Residential Plot,PKR47 Lakh,"GT Road, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,,,,
95,Residential Plot,PKR51 Lakh,"GT Road, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,,,,
96,Residential Plot,PKR20 Lakh,"GT Road, Lahore, Punjab",-,5 Marla,For Sale,-,6 hours ago,,,,
97,Residential Plot,PKR38 Lakh,"GT Road, Lahore, Punjab",-,10 Marla,For Sale,-,3 days ago,,,,
98,Residential Plot,PKR23 Lakh,"GT Road, Lahore, Punjab",-,5 Marla,For Sale,-,6 hours ago,,,,
99,Residential Plot,PKR17.5 Lakh,"GT Road, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,,,,
100,Plot File,PKR3 Lakh,"GT Road, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,,,,
101,,,,,,,,,,,,
102,Residential Plot,PKR18 Lakh,"GT Road, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,File,,,
103,Plot File,PKR28.2 Lakh,"GT Road, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,,,,
104,Plot File,PKR4 Lakh,"GT Road, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,,,,
105,Residential Plot,PKR27 Lakh,"GT Road, Lahore, Punjab",-,8 Marla,For Sale,-,2 weeks ago,"Possesion,Electricity,Water Supply,Sui Gas,Boundary Wall",PKR4 Lakh,PKR25 Thousand,36 Months
106,Plot File,PKR5.64 Lakh,"GT Road, Lahore, Punjab",-,7 Marla,For Sale,-,3 weeks ago,,,,
107,Plot File,PKR17.9 Lakh,"GT Road, Lahore, Punjab",-,4 Marla,For Sale,-,3 weeks ago,,,,
108,Plot File,PKR10.8 Lakh,"GT Road, Lahore, Punjab",-,1 Kanal,For Sale,-,3 weeks ago,,,,
109,Residential Plot,PKR67.75 Lakh,"GT Road, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,,,,
110,Plot File,PKR2.5 Lakh,"GT Road, Lahore, Punjab",-,3 Marla,For Sale,-,3 weeks ago,,,,
111,Residential Plot,PKR3.1 Crore,"GT Road, Lahore, Punjab",-,1 Kanal,For Sale,-,3 weeks ago,,,,
112,Plot File,PKR17.9 Lakh,"GT Road, Lahore, Punjab",-,4 Marla,For Sale,-,3 weeks ago,,,,
