,Type,Price,advance,Monthly installment,Remaining installments,Location,Baths,Area,Purpose,Beds,Creation date,Amenities
78,Plot File,PKR6.95 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,3 Marla,For Sale,-,5 days ago,
79,Plot File,PKR6.95 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,3 Marla,For Sale,-,5 days ago,
80,Plot File,PKR6.95 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,3 Marla,For Sale,-,5 days ago,
81,Plot File,PKR6.95 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,3 Marla,For Sale,-,5 days ago,
82,Plot File,PKR6.95 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,3 Marla,For Sale,-,5 days ago,
83,Plot File,PKR6.95 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,3 Marla,For Sale,-,5 days ago,
84,Plot File,PKR6.95 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,3 Marla,For Sale,-,5 days ago,
85,Plot File,PKR6.95 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,3 Marla,For Sale,-,5 days ago,
86,Plot File,PKR6.95 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,3 Marla,For Sale,-,5 days ago,
87,Plot File,PKR6.95 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,3 Marla,For Sale,-,5 days ago,
88,Plot File,PKR6.95 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,3 Marla,For Sale,-,5 days ago,
89,Plot File,PKR6.95 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,3 Marla,For Sale,-,5 days ago,
90,Plot File,PKR6.95 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,3 Marla,For Sale,-,5 days ago,
91,Plot File,PKR6.95 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,3 Marla,For Sale,-,5 days ago,
92,Plot File,PKR6.95 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,3 Marla,For Sale,-,5 days ago,
93,Plot File,PKR6.95 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,3 Marla,For Sale,-,5 days ago,
94,Plot File,PKR6.95 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,3 Marla,For Sale,-,5 days ago,
95,Plot File,PKR6.95 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,3 Marla,For Sale,-,5 days ago,
96,Plot File,PKR6.95 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,3 Marla,For Sale,-,5 days ago,
97,Plot File,PKR6.95 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,3 Marla,For Sale,-,5 days ago,
98,Plot File,PKR6.95 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,3 Marla,For Sale,-,5 days ago,
99,Plot File,PKR6.95 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,3 Marla,For Sale,-,5 days ago,
100,Plot File,PKR6.95 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,3 Marla,For Sale,-,5 days ago,
101,Plot File,PKR6.95 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,3 Marla,For Sale,-,5 days ago,
102,Plot File,PKR6.95 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,3 Marla,For Sale,-,5 days ago,
103,Plot File,PKR6.95 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,3 Marla,For Sale,-,5 days ago,
104,Plot File,PKR6.95 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,3 Marla,For Sale,-,5 days ago,
105,Plot File,PKR6.95 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,3 Marla,For Sale,-,5 days ago,
106,Plot File,PKR6.95 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,3 Marla,For Sale,-,5 days ago,
107,Plot File,PKR6.95 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,3 Marla,For Sale,-,5 days ago,
108,Plot File,PKR6.95 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,3 Marla,For Sale,-,5 days ago,
109,Plot File,PKR6.95 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,3 Marla,For Sale,-,5 days ago,
110,Plot File,PKR17.75 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,5 Marla,For Sale,-,6 days ago,
111,Plot File,PKR6.95 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,3 Marla,For Sale,-,6 days ago,
