,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities,advance,Monthly installment,Remaining installments
45,Residential Plot,PKR12 Lakh,"Multan Road, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,"Balloted,Sewerage,Electricity,Water Supply",,,
46,Residential Plot,PKR12 Lakh,"Multan Road, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,"Balloted,Sewerage,Electricity,Water Supply",,,
47,Residential Plot,PKR12 Lakh,"Multan Road, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,"Balloted,Sewerage,Electricity,Water Supply",,,
48,Residential Plot,PKR12 Lakh,"Multan Road, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,"Balloted,Sewerage,Electricity,Water Supply",,,
49,Industrial Land,PKR40 Lakh,"Multan Road, Lahore, Punjab",-,1 Kanal,For Sale,-,1 week ago,,,,
50,Industrial Land,PKR1.25 Crore,"Multan Road, Lahore, Punjab",-,1 Kanal,For Sale,-,1 week ago,,,,
51,Agricultural Land,PKR85 Lakh,"Multan Road, Lahore, Punjab",-,4.7 Kanal,For Sale,-,2 weeks ago,"Possesion,Electricity,Sui Gas,Tube Wells,Accessible by Road,Land Fertility,Boundary Lines,Nearby Water Resources,Other Land Features,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Other Facilities",,,
52,Residential Plot,PKR34.9 Lakh,"Multan Road, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,"Possesion,Corner,Park Facing,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Shopping Malls",,,
53,Residential Plot,PKR9 Crore,"Multan Road, Lahore, Punjab",-,6 Kanal,For Sale,-,2 weeks ago,,,,
54,Residential Plot,PKR15 Lakh,"Multan Road, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,,PKR14 Lakh,PKR2.5 Thousand,20 Months
55,Commercial Plot,PKR25 Lakh,"Multan Road, Lahore, Punjab",-,2.7 Marla,For Sale,-,2 weeks ago,"Possesion,Corner,Sewerage,Electricity,Water Supply,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Security Staff",,,
56,Residential Plot,PKR10 Lakh,"Multan Road, Lahore, Punjab",-,2 Marla,For Sale,-,2 weeks ago,"Possesion,Corner,Sewerage,Electricity,Water Supply,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Security Staff",,,
57,Residential Plot,PKR15 Lakh,"Multan Road, Lahore, Punjab",-,3 Marla,For Sale,-,2 weeks ago,"Possesion,Corner,Sewerage,Electricity,Water Supply,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Security Staff",,,
58,Residential Plot,PKR15 Lakh,"Multan Road, Lahore, Punjab",-,3 Marla,For Sale,-,2 weeks ago,,,,
59,Commercial Plot,PKR36 Lakh,"Multan Road, Lahore, Punjab",-,3.5 Marla,For Sale,-,2 weeks ago,"Possesion,Corner,Sewerage,Electricity,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service",,,
60,Residential Plot,PKR20 Lakh,"Multan Road, Lahore, Punjab",-,4 Marla,For Sale,-,2 weeks ago,"Possesion,Sewerage,Electricity,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service",,,
61,Commercial Plot,PKR21 Lakh,"Multan Road, Lahore, Punjab",-,1.9 Marla,For Sale,-,2 weeks ago,"Possesion,Sewerage,Electricity,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service",,,
62,Residential Plot,PKR16 Lakh,"Multan Road, Lahore, Punjab",-,3 Marla,For Sale,-,2 weeks ago,"Possesion,Sewerage,Electricity,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service",,,
63,Residential Plot,PKR15 Lakh,"Multan Road, Lahore, Punjab",-,3 Marla,For Sale,-,2 weeks ago,"Possesion,Sewerage,Electricity,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service",,,
64,Residential Plot,PKR16 Lakh,"Multan Road, Lahore, Punjab",-,3 Marla,For Sale,-,2 weeks ago,"Possesion,Sewerage,Electricity,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service",,,
65,Residential Plot,PKR34 Lakh,"Multan Road, Lahore, Punjab",-,3 Marla,For Sale,-,2 weeks ago,,,,
66,Residential Plot,PKR33 Lakh,"Multan Road, Lahore, Punjab",-,3 Marla,For Sale,-,2 weeks ago,,,,
67,Industrial Land,PKR70 Crore,"Multan Road, Lahore, Punjab",-,185 Kanal,For Sale,-,2 weeks ago,,,,
68,Commercial Plot,PKR1.15 Arab,"Multan Road, Lahore, Punjab",-,23 Kanal,For Sale,-,3 weeks ago,,,,
69,Residential Plot,PKR60 Lakh,"Multan Road, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,"Nearby Hospitals,Nearby Public Transport Service",,,
70,Residential Plot,PKR15.95 Lakh,"Multan Road, Lahore, Punjab",-,2.5 Marla,For Sale,-,3 weeks ago,"Possesion,File,Balloted,Sewerage,Electricity,Water Supply,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Security Staff",PKR6 Lakh,PKR10 Thousand,60 Months
71,Residential Plot,PKR10 Lakh,"Multan Road, Lahore, Punjab",-,2 Marla,For Sale,-,3 weeks ago,"Possesion,Sewerage,Electricity,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants",,,
72,Residential Plot,PKR20 Lakh,"Multan Road, Lahore, Punjab",-,4 Marla,For Sale,-,3 weeks ago,"Possesion,Sewerage,Electricity,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants",,,
73,Residential Plot,PKR25 Lakh,"Multan Road, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,"Possesion,Electricity,Water Supply,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants",,,
74,Commercial Plot,PKR25 Lakh,"Multan Road, Lahore, Punjab",-,2.7 Marla,For Sale,-,3 weeks ago,"Possesion,Corner,Sewerage,Electricity,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants",,,
75,Commercial Plot,PKR15 Lakh,"Multan Road, Lahore, Punjab",-,1 Marla,For Sale,-,3 weeks ago,"Possesion,Sewerage,Electricity,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants",,,
76,Commercial Plot,PKR10 Lakh,"Multan Road, Lahore, Punjab",-,1 Marla,For Sale,-,3 weeks ago,"Possesion,Sewerage,Electricity,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants",,,
77,Commercial Plot,PKR4 Crore,"Multan Road, Lahore, Punjab",-,8 Marla,For Sale,-,3 weeks ago,"Possesion,Sewerage,Electricity,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service",,,
78,Commercial Plot,PKR12 Crore,"Multan Road, Lahore, Punjab",-,1.2 Kanal,For Sale,-,3 weeks ago,"Possesion,Sewerage,Electricity,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service",,,
79,Residential Plot,PKR55 Lakh,"Multan Road, Lahore, Punjab",-,5 Marla,For Sale,-,1 month ago,,PKR16 Lakh,PKR49.5 Thousand,15 Months
80,Residential Plot,PKR33 Lakh,"Multan Road, Lahore, Punjab",-,3 Marla,For Sale,-,1 month ago,,,,
81,Residential Plot,PKR34 Lakh,"Multan Road, Lahore, Punjab",-,3 Marla,For Sale,-,1 month ago,,,,
82,Residential Plot,PKR33 Lakh,"Multan Road, Lahore, Punjab",-,3 Marla,For Sale,-,1 month ago,,,,
83,Residential Plot,PKR36 Lakh,"Multan Road, Lahore, Punjab",-,10 Marla,For Sale,-,1 month ago,,,,
84,Residential Plot,PKR36 Lakh,"Multan Road, Lahore, Punjab",-,3 Marla,For Sale,-,1 month ago,,,,
85,Residential Plot,PKR34 Lakh,"Multan Road, Lahore, Punjab",-,3 Marla,For Sale,-,1 month ago,,,,
86,Residential Plot,PKR35 Lakh,"Multan Road, Lahore, Punjab",-,3 Marla,For Sale,-,1 month ago,,,,
87,Residential Plot,PKR33 Lakh,"Multan Road, Lahore, Punjab",-,3 Marla,For Sale,-,1 month ago,,,,
88,Residential Plot,PKR33 Lakh,"Multan Road, Lahore, Punjab",-,3 Marla,For Sale,-,1 month ago,,,,
89,Residential Plot,PKR33 Lakh,"Multan Road, Lahore, Punjab",-,3 Marla,For Sale,-,1 month ago,,,,
90,Residential Plot,PKR33 Lakh,"Multan Road, Lahore, Punjab",-,3 Marla,For Sale,-,1 month ago,,,,
91,Residential Plot,PKR2.6 Crore,"Multan Road, Lahore, Punjab",-,4 Kanal,For Sale,-,2 months ago,,,,
92,Residential Plot,PKR50 Lakh,"Multan Road, Lahore, Punjab",-,10 Marla,For Sale,-,2 months ago,,,,
93,Residential Plot,PKR50 Lakh,"Multan Road, Lahore, Punjab",-,10 Marla,For Sale,-,2 months ago,,,,
94,Residential Plot,PKR50 Lakh,"Multan Road, Lahore, Punjab",-,10 Marla,For Sale,-,2 months ago,,,,
95,Residential Plot,PKR20 Lakh,"Multan Road, Lahore, Punjab",-,4 Marla,For Sale,-,3 months ago,"Possesion,Corner,Sewerage,Electricity,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service",,,
96,Residential Plot,PKR15 Lakh,"Multan Road, Lahore, Punjab",-,3 Marla,For Sale,-,5 months ago,,,,
97,Residential Plot,PKR20 Lakh,"Multan Road, Lahore, Punjab",-,5 Marla,For Sale,-,5 months ago,,,,
98,Plot File,PKR1 Crore,"Multan Road, Lahore, Punjab",-,2 Kanal,For Sale,-,5 months ago,,,,
99,Plot File,PKR1 Crore,"Multan Road, Lahore, Punjab",-,2 Kanal,For Sale,-,5 months ago,,,,
100,Plot File,PKR9.5 Lakh,"Multan Road, Lahore, Punjab",-,3 Marla,For Sale,-,5 months ago,,,,
101,Commercial Plot,PKR33.5 Crore,"Multan Road, Lahore, Punjab",-,7 Kanal,For Sale,-,5 months ago,,,,
102,Residential Plot,PKR18 Lakh,"Multan Road, Lahore, Punjab",-,4 Marla,For Sale,-,6 months ago,,PKR7.2 Lakh,PKR15 Thousand,53 Months
103,Commercial Plot,PKR15 Arab,"Multan Road, Lahore, Punjab",-,"3,000 Kanal",For Sale,-,8 months ago,,,,
104,Commercial Plot,PKR15 Lakh,"Multan Road, Lahore, Punjab",-,3 Marla,For Sale,-,9 months ago,,,,
