,Type,Price,advance,Monthly installment,Remaining installments,Location,Baths,Area,Purpose,Beds,Creation date,Amenities
131,Residential Plot,PKR24 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,3 Marla,For Sale,-,4 days ago,
132,Residential Plot,PKR67.5 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,6 Marla,For Sale,-,5 days ago,
133,Residential Plot,PKR37.5 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,5 days ago,"Possesion,Park Facing,File,Sewerage,Boundary Wall"
134,Commercial Plot,PKR90 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,2 Marla,For Sale,-,5 days ago,
135,Residential Plot,PKR34.5 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,3 Marla,For Sale,-,5 days ago,
136,Commercial Plot,PKR36 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,2 Marla,For Sale,-,5 days ago,
137,Residential Plot,PKR25 Lakh,PKR3.4 Lakh,PKR22 Thousand,60 Months,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,
138,Plot File,PKR17.85 Lakh,PKR2.85 Lakh,PKR17 Thousand,60 Months,"Al Rehman Garden, Lahore, Punjab",-,3.5 Marla,For Sale,-,1 day ago,
139,,,,,,,,,,,,
140,Residential Plot,PKR40 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,5 days ago,
141,Residential Plot,PKR78 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,7 Marla,For Sale,-,5 days ago,
142,Plot File,PKR3.5 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,
143,Commercial Plot,PKR68 Lakh,PKR10.2 Lakh,PKR55 Thousand,60 Months,"Al Rehman Garden, Lahore, Punjab",-,4 Marla,For Sale,-,3 days ago,
144,Residential Plot,PKR36 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,3 Marla,For Sale,-,3 days ago,
145,Residential Plot,PKR1.4 Crore,,,,"Al Rehman Garden, Lahore, Punjab",-,10 Marla,For Sale,-,3 days ago,
146,Residential Plot,PKR1.8 Crore,,,,"Al Rehman Garden, Lahore, Punjab",-,1 Kanal,For Sale,-,3 days ago,
147,Residential Plot,PKR41 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,
148,Residential Plot,PKR56 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,
149,Residential Plot,PKR40 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,
150,Residential Plot,PKR35 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,6 days ago,
151,Residential Plot,PKR33 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,6 days ago,
152,Residential Plot,PKR23 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,3.5 Marla,For Sale,-,6 days ago,
153,Residential Plot,PKR90 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,10 Marla,For Sale,-,6 days ago,
154,Residential Plot,PKR33 Lakh,PKR8.5 Lakh,PKR35 Thousand,36 Months,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,6 days ago,
155,,,,,,,,,,,,
156,Residential Plot,PKR35.5 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,6 days ago,
157,Residential Plot,PKR43 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,6 days ago,
158,Residential Plot,PKR65 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,
159,Plot File,PKR2.85 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,3.5 Marla,For Sale,-,1 week ago,
160,Residential Plot,PKR73.5 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,6 Marla,For Sale,-,1 week ago,
161,Residential Plot,PKR85 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,10 Marla,For Sale,-,1 week ago,
162,Residential Plot,PKR33 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,"Possesion,File,Sewerage,Electricity,Water Supply,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Security Staff"
163,Residential Plot,PKR57.5 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,
