,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities,advance,Monthly installment,Remaining installments
199,Residential Plot,PKR40 Lakh,"Park Avenue Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,,,,
200,Plot File,PKR6.18 Lakh,"Park Avenue Housing Scheme, Lahore, Punjab",-,3 Marla,For Sale,-,2 weeks ago,,,,
201,Commercial Plot,PKR1.75 Crore,"Park Avenue Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,,,,
202,Commercial Plot,PKR1.5 Crore,"Park Avenue Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,,PKR28 Lakh,PKR1.4 Lakh,68 Months
203,Residential Plot,PKR62 Lakh,"Park Avenue Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,,PKR10 Lakh,PKR55 Thousand,54 Months
204,Commercial Plot,PKR1.5 Crore,"Park Avenue Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,,,,
205,Commercial Plot,PKR2.1 Crore,"Park Avenue Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,"Possesion,Sewerage",,,
206,Residential Plot,PKR48 Lakh,"Park Avenue Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,,,,
207,Residential Plot,PKR48 Lakh,"Park Avenue Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,,,,
208,Residential Plot,PKR38 Lakh,"Park Avenue Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,,,,
209,Residential Plot,PKR42 Lakh,"Park Avenue Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,,,,
210,Residential Plot,PKR44 Lakh,"Park Avenue Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,,,,
211,Residential Plot,PKR43 Lakh,"Park Avenue Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,,,,
212,Residential Plot,PKR55 Lakh,"Park Avenue Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,,,,
213,Residential Plot,PKR52 Lakh,"Park Avenue Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,,,,
214,Residential Plot,PKR45 Lakh,"Park Avenue Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,,,,
